gene_symbol,TAK002_SW480_96H:TRCN0000194972:-666,TAK002_SW480_96H:TRCN0000199993:-666
NUCB1,-1.3461499214172363,-0.9537500143051147
LDHA,0.361299991607666,-0.7364000082015991
RACK1,1.3524999618530273,-1.0253000259399414
SSR2,0.029149994254112244,0.0996999740600586
P4HB,-0.38135001063346863,0.9136999845504761
SLC25A5,0.17595000565052032,1.431249976158142
PHB,-0.20880001783370972,-0.23444999754428864
S100A11,-1.2344499826431274,1.1359000205993652
CTSA,-0.08905000984668732,0.3876999616622925
TOMM20,-0.8140000104904175,-3.225950002670288
CD63,-3.929649829864502,0.28060001134872437
DNAJB1,0.9773499965667725,0.2584500014781952
UBE2D3,-0.5145999789237976,0.23725001513957977
XBP1,-3.311350107192993,0.3192000091075897
SPTBN1,-1.4916499853134155,-1.1062999963760376
LAPTM4A,0.7016000151634216,-0.19030000269412994
